Time;S&P
10.09.2019 21:40;2969,44
10.09.2019 21:45;2969,38
10.09.2019 21:50;2970
10.09.2019 21:55;2979,37
10.09.2019 22:00;2979,39
10.09.2019 22:05;2979,39
10.09.2019 22:10;2979,39
11.09.2019 15:30;2977,23
11.09.2019 15:35;2980,84
11.09.2019 15:40;2981,35
11.09.2019 15:45;2985,65
11.09.2019 15:50;2983,54
11.09.2019 15:55;2982,64
11.09.2019 16:00;2982,99
11.09.2019 16:05;2983,49
11.09.2019 16:10;2986,65
11.09.2019 16:15;2986,09
11.09.2019 16:20;2986,52
11.09.2019 16:25;2986,52
11.09.2019 16:30;2986,44
11.09.2019 16:35;2987,54
11.09.2019 16:40;2987,41
11.09.2019 16:45;2985,61
11.09.2019 16:50;2986,61
11.09.2019 16:55;2987,67
11.09.2019 17:00;2987,34
11.09.2019 17:05;2986,62
11.09.2019 17:10;2986,84
11.09.2019 17:15;2987,23
11.09.2019 17:20;2988,42
11.09.2019 17:25;2987,81
11.09.2019 17:30;2990,48
11.09.2019 17:35;2989,81
11.09.2019 17:40;2990,22
11.09.2019 17:45;2989,15
11.09.2019 17:50;2990,72
11.09.2019 17:55;2991,4
11.09.2019 18:00;2992,79
11.09.2019 18:05;2992,84
11.09.2019 18:10;2992,95
11.09.2019 18:15;2992,41
11.09.2019 18:20;2992,33
11.09.2019 18:25;2992,1
11.09.2019 18:30;2992,42
11.09.2019 18:35;2992,6
11.09.2019 18:40;2992,23
11.09.2019 18:45;2992,67
11.09.2019 18:50;2993,33
11.09.2019 18:55;2994,35
11.09.2019 19:00;2994,23
11.09.2019 19:05;2994,48
11.09.2019 19:10;2995,05
11.09.2019 19:15;2995,57
11.09.2019 19:20;2995,61
11.09.2019 19:25;2994,37
11.09.2019 19:30;2995,05
11.09.2019 19:35;2995,48
11.09.2019 19:40;2994,12
11.09.2019 19:45;2994,65
11.09.2019 19:50;2993,26
11.09.2019 19:55;2993,28
11.09.2019 20:00;2992,37
11.09.2019 20:05;2993,4
11.09.2019 20:10;2992,67
11.09.2019 20:15;2992,15
11.09.2019 20:20;2992,07
11.09.2019 20:25;2992,09
11.09.2019 20:30;2991,67
11.09.2019 20:35;2991,67
11.09.2019 20:40;2992,12
11.09.2019 20:45;2991,11
11.09.2019 20:50;2990,94
11.09.2019 20:55;2991,72
11.09.2019 21:00;2993,47
11.09.2019 21:05;2993,1
11.09.2019 21:10;2993,63
11.09.2019 21:15;2993,76
11.09.2019 21:20;2994,04
11.09.2019 21:25;2993,94
11.09.2019 21:30;2994,9
11.09.2019 21:35;2995,96
11.09.2019 21:40;2995,28
11.09.2019 21:45;2994,67
11.09.2019 21:50;2998,43
11.09.2019 21:55;3000,59
11.09.2019 22:00;3000,91
11.09.2019 22:05;3000,93
11.09.2019 22:10;3000,93
12.09.2019 15:30;3012,76
12.09.2019 15:35;3010,58
12.09.2019 15:40;3005,12
12.09.2019 15:45;3001,95
12.09.2019 15:50;3002,89
12.09.2019 15:55;3006,14
12.09.2019 16:00;3007,1
12.09.2019 16:05;3005,78
12.09.2019 16:10;3012,03
12.09.2019 16:15;3014,7
12.09.2019 16:20;3015,46
12.09.2019 16:25;3016,96
12.09.2019 16:30;3015
12.09.2019 16:35;3014,88
12.09.2019 16:40;3014,32
12.09.2019 16:45;3015,57
12.09.2019 16:50;3005,78
12.09.2019 16:55;3005,19
12.09.2019 17:00;3005,54
12.09.2019 17:05;3006,64
12.09.2019 17:10;3007,96
12.09.2019 17:15;3010,4
12.09.2019 17:20;3011,92
12.09.2019 17:25;3011,93
12.09.2019 17:30;3011,28
12.09.2019 17:35;3011,43
12.09.2019 17:40;3013,03
12.09.2019 17:45;3013,55
12.09.2019 17:50;3014,27
12.09.2019 17:55;3014,86
12.09.2019 18:00;3013,21
12.09.2019 18:05;3012,04
12.09.2019 18:10;3012,64
12.09.2019 18:15;3011,74
12.09.2019 18:20;3012,56
12.09.2019 18:25;3013,91
12.09.2019 18:30;3014,71
12.09.2019 18:35;3014,15
12.09.2019 18:40;3015,63
12.09.2019 18:45;3016,19
12.09.2019 18:50;3016,88
12.09.2019 18:55;3017,3
12.09.2019 19:00;3019,41
12.09.2019 19:05;3018,62
12.09.2019 19:10;3018,16
12.09.2019 19:15;3017,6
12.09.2019 19:20;3017,43
12.09.2019 19:25;3017,57
12.09.2019 19:30;3018,42
12.09.2019 19:35;3017,58
12.09.2019 19:40;3019,13
12.09.2019 19:45;3019,08
12.09.2019 19:50;3019,46
12.09.2019 19:55;3018,58
12.09.2019 20:00;3017,37
12.09.2019 20:05;3016,69
12.09.2019 20:10;3016,91
12.09.2019 20:15;3017,03
12.09.2019 20:20;3016,38
12.09.2019 20:25;3017,02
12.09.2019 20:30;3017,98
12.09.2019 20:35;3018,86
12.09.2019 20:40;3019,18
12.09.2019 20:45;3018,91
12.09.2019 20:50;3018,66
12.09.2019 20:55;3018,27
12.09.2019 21:00;3016,95
12.09.2019 21:05;3016,74
12.09.2019 21:10;3016,58
12.09.2019 21:15;3015,93
12.09.2019 21:20;3017,2
12.09.2019 21:25;3015,77
12.09.2019 21:30;3016,19
12.09.2019 21:35;3016
12.09.2019 21:40;3014,89
12.09.2019 21:45;3012,97
12.09.2019 21:50;3012,9
12.09.2019 21:55;3009,77
12.09.2019 22:00;3009,57
12.09.2019 22:05;3009,57
12.09.2019 22:10;3009,57
13.09.2019 15:30;3010,14
13.09.2019 15:35;3013,12
13.09.2019 15:40;3014,07
13.09.2019 15:45;3013,66
13.09.2019 15:50;3014,67
13.09.2019 15:55;3012,04
13.09.2019 16:00;3010,94
13.09.2019 16:05;3009,05
13.09.2019 16:10;3009,15
13.09.2019 16:15;3012,18
13.09.2019 16:20;3013,29
13.09.2019 16:25;3014,01
13.09.2019 16:30;3012,97
13.09.2019 16:35;3012,87
13.09.2019 16:40;3012,47
13.09.2019 16:45;3014,07
13.09.2019 16:50;3014,73
13.09.2019 16:55;3014,25
13.09.2019 17:00;3014,31
13.09.2019 17:05;3016,98
13.09.2019 17:10;3016,52
13.09.2019 17:15;3016,52
13.09.2019 17:20;3015,44
13.09.2019 17:25;3012,83
13.09.2019 17:30;3012,45
13.09.2019 17:35;3011,59
13.09.2019 17:40;3012,54
13.09.2019 17:45;3013,19
13.09.2019 17:50;3012,25
13.09.2019 17:55;3011,67
13.09.2019 18:00;3012,73
13.09.2019 18:05;3013,7
13.09.2019 18:10;3013,12
13.09.2019 18:15;3013,05
13.09.2019 18:20;3010,66
13.09.2019 18:25;3009,84
13.09.2019 18:30;3010,32
13.09.2019 18:35;3010,83
13.09.2019 18:40;3010,19
13.09.2019 18:45;3009,3
13.09.2019 18:50;3010,28
13.09.2019 18:55;3009,78
13.09.2019 19:00;3009,26
13.09.2019 19:05;3010,66
13.09.2019 19:10;3011,22
13.09.2019 19:15;3011,47
13.09.2019 19:20;3010,41
13.09.2019 19:25;3010,53
13.09.2019 19:30;3009,78
13.09.2019 19:35;3009,26
13.09.2019 19:40;3006,96
13.09.2019 19:45;3009,26
13.09.2019 19:50;3010,34
13.09.2019 19:55;3007,28
13.09.2019 20:00;3008,46
13.09.2019 20:05;3009,67
13.09.2019 20:10;3008,36
13.09.2019 20:15;3007,02
13.09.2019 20:20;3008,13
13.09.2019 20:25;3007,89
13.09.2019 20:30;3008,72
13.09.2019 20:35;3008,51
13.09.2019 20:40;3009,04
13.09.2019 20:45;3007,37
13.09.2019 20:50;3007,94
13.09.2019 20:55;3008,14
13.09.2019 21:00;3006,34
13.09.2019 21:05;3003,99
13.09.2019 21:10;3004,25
13.09.2019 21:15;3003,7
13.09.2019 21:20;3005,21
13.09.2019 21:25;3005,74
13.09.2019 21:30;3006,24
13.09.2019 21:35;3006,47
13.09.2019 21:40;3007,92
13.09.2019 21:45;3008,35
13.09.2019 21:50;3007,95
13.09.2019 21:55;3007,01
13.09.2019 22:00;3007,36
13.09.2019 22:05;3007,39
13.09.2019 22:10;3007,39
16.09.2019 15:30;2997,15
16.09.2019 15:35;2996,65
16.09.2019 15:40;2998,21
16.09.2019 15:45;2996,99
16.09.2019 15:50;3000,37
16.09.2019 15:55;3001,38
16.09.2019 16:00;3000,51
16.09.2019 16:05;3000,22
16.09.2019 16:10;2999,28
16.09.2019 16:15;2999,41
16.09.2019 16:20;3000,71
16.09.2019 16:25;2997,04
16.09.2019 16:30;2996,74
16.09.2019 16:35;2996,67
16.09.2019 16:40;2996,74
16.09.2019 16:45;2995,78
16.09.2019 16:50;2994,36
16.09.2019 16:55;2996,22
16.09.2019 17:00;2996,68
16.09.2019 17:05;3000,48
16.09.2019 17:10;3000,48
16.09.2019 17:15;2999,86
16.09.2019 17:20;2999,21
16.09.2019 17:25;2999,59
16.09.2019 17:30;2996,64
16.09.2019 17:35;2997
16.09.2019 17:40;2995,51
16.09.2019 17:45;2993,98
16.09.2019 17:50;2994,54
16.09.2019 17:55;2991,1
16.09.2019 18:00;2992,97
16.09.2019 18:05;2993,3
16.09.2019 18:10;2993,7
16.09.2019 18:15;2992,78
16.09.2019 18:20;2992,82
16.09.2019 18:25;2994
16.09.2019 18:30;2993,92
16.09.2019 18:35;2994,42
16.09.2019 18:40;2992,24
16.09.2019 18:45;2994,19
16.09.2019 18:50;2995,31
16.09.2019 18:55;2994,88
16.09.2019 19:00;2995,39
16.09.2019 19:05;2996,27
16.09.2019 19:10;2996,37
16.09.2019 19:15;2996,85
16.09.2019 19:20;2996,68
16.09.2019 19:25;2996,58
16.09.2019 19:30;2996,2
16.09.2019 19:35;2996,46
16.09.2019 19:40;2996,71
16.09.2019 19:45;2996,69
16.09.2019 19:50;2997,82
16.09.2019 19:55;2998,4
16.09.2019 20:00;2998,28
16.09.2019 20:05;2996,55
16.09.2019 20:10;2996,37
16.09.2019 20:15;2997,59
16.09.2019 20:20;2997,81
16.09.2019 20:25;2998,54
16.09.2019 20:30;2997,8
16.09.2019 20:35;2997,11
16.09.2019 20:40;2997,3
16.09.2019 20:45;2998,13
16.09.2019 20:50;2998,4
16.09.2019 20:55;2998,46
16.09.2019 21:00;2998,09
16.09.2019 21:05;2996,83
16.09.2019 21:10;2999,67
16.09.2019 21:15;2998,52
16.09.2019 21:20;2997,53
16.09.2019 21:25;2996,79
16.09.2019 21:30;2997,39
16.09.2019 21:35;2996,93
16.09.2019 21:40;2996,87
16.09.2019 21:45;2996,2
16.09.2019 21:50;2996,85
16.09.2019 21:55;2997,8
16.09.2019 22:00;2997,95
16.09.2019 22:05;2997,96
16.09.2019 22:10;2997,96
17.09.2019 15:30;2996,32
17.09.2019 15:35;2997,74
17.09.2019 15:40;2995,22
17.09.2019 15:45;2997,59
17.09.2019 15:50;2996,18
17.09.2019 15:55;2997,81
17.09.2019 16:00;2996,29
17.09.2019 16:05;2995,58
17.09.2019 16:10;2996,17
17.09.2019 16:15;2997,07
17.09.2019 16:20;2996,05
17.09.2019 16:25;2997,68
17.09.2019 16:30;2998,74
17.09.2019 16:35;2998,59
17.09.2019 16:40;2998,09
17.09.2019 16:45;2996,82
17.09.2019 16:50;2996,44
17.09.2019 16:55;2995,99
17.09.2019 17:00;2998,58
17.09.2019 17:05;2998,67
17.09.2019 17:10;2998,37
17.09.2019 17:15;2997,76
17.09.2019 17:20;3001,02
17.09.2019 17:25;2998,87
17.09.2019 17:30;2998,81
17.09.2019 17:35;3000,21
17.09.2019 17:40;2999,78
17.09.2019 17:45;2999,73
17.09.2019 17:50;2999,56
17.09.2019 17:55;2998,76
17.09.2019 18:00;2999,19
17.09.2019 18:05;2997,65
17.09.2019 18:10;2997,43
17.09.2019 18:15;2997,09
17.09.2019 18:20;2996,52
17.09.2019 18:25;2997,16
17.09.2019 18:30;2996,73
17.09.2019 18:35;2995,64
17.09.2019 18:40;2996,44
17.09.2019 18:45;2996,21
17.09.2019 18:50;2995,81
17.09.2019 18:55;2995,81
17.09.2019 19:00;2995,7
17.09.2019 19:05;2996,09
17.09.2019 19:10;2996,71
17.09.2019 19:15;2997,92
17.09.2019 19:20;2997,92
17.09.2019 19:25;2996,62
17.09.2019 19:30;2997,33
17.09.2019 19:35;2997,26
17.09.2019 19:40;2997,93
17.09.2019 19:45;2998,2
17.09.2019 19:50;2998,4
17.09.2019 19:55;2998,76
17.09.2019 20:00;3000,5
17.09.2019 20:05;2998,79
17.09.2019 20:10;2998,05
17.09.2019 20:15;2998,33
17.09.2019 20:20;2997,49
17.09.2019 20:25;2997,93
17.09.2019 20:30;2998,32
17.09.2019 20:35;2998,04
17.09.2019 20:40;2999,15
17.09.2019 20:45;2999,55
17.09.2019 20:50;2999,53
17.09.2019 20:55;2999,03
17.09.2019 21:00;2998,47
17.09.2019 21:05;2999
